tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,month
396,52:31.6,59:08.0,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.947915,3071,Boerum St & Broadway,40.70538077,-73.94976519,34295,Subscriber,1969,Jan-19
725,52:31.1,04:36.2,3370,E 78 St & 2 Ave,40.7727966,-73.95577801,385,E 55 St & 2 Ave,40.75797322,-73.96603308,31856,Subscriber,1970,Jan-19
398,52:32.2,59:10.5,3430,Richardson St & N Henry St,40.71907891,-73.9422369,3101,N 12 St & Bedford Ave,40.72079821,-73.95484712,31968,Subscriber,1990,Jan-19
115,52:34.6,54:29.6,312,Allen St & Stanton St,40.722055,-73.989111,410,Suffolk St & Stanton St,40.72066442,-73.98517977,34104,Subscriber,1971,Jan-19
342,52:34.3,58:16.4,347,Greenwich St & W Houston St,40.728846,-74.008591,238,Bank St & Washington St,40.7361967,-74.00859207,33921,Subscriber,1978,Jan-19
2730,52:35.2,38:05.8,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3282,5 Ave & E 88 St,40.78307,-73.95939,30173,Customer,1990,Jan-19
2778,52:35.4,38:53.4,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3282,5 Ave & E 88 St,40.78307,-73.95939,29430,Customer,1985,Jan-19
468,52:37.9,00:26.6,229,Great Jones St,40.72743423,-73.99379025,276,Duane St & Greenwich St,40.71748752,-74.0104554,26736,Subscriber,1978,Jan-19
121,52:38.2,54:39.7,448,W 37 St & 10 Ave,40.75660359,-73.9979009,525,W 34 St & 11 Ave,40.75594159,-74.0021163,30971,Subscriber,1991,Jan-19
197,52:41.3,55:59.2,3263,Cooper Square & Astor Pl,40.72951496,-73.9907527,382,University Pl & E 14 St,40.73492695,-73.99200509,18606,Subscriber,1987,Jan-19
288,52:44.3,57:32.9,482,W 15 St & 7 Ave,40.73935542,-73.99931783,405,Washington St & Gansevoort St,40.739323,-74.008119,20637,Subscriber,1991,Jan-19
763,52:43.7,05:27.3,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,491,E 24 St & Park Ave S,40.74096374,-73.98602213,35286,Subscriber,1983,Jan-19
1244,52:46.4,13:30.6,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,3467,W Broadway & Spring Street,40.72494672,-74.00165856,18748,Subscriber,1974,Jan-19
202,52:47.0,56:09.5,335,Washington Pl & Broadway,40.72903917,-73.99404649,368,Carmine St & 6 Ave,40.73038599,-74.00214988,33849,Subscriber,1993,Jan-19
955,52:46.2,08:41.7,3300,Prospect Park West & 8 St,40.66514682,-73.97637606,3408,Congress St & Clinton St,40.6881529,-73.99520919,25355,Subscriber,1989,Jan-19
277,52:46.3,57:23.8,423,W 54 St & 9 Ave,40.76584941,-73.98690506,479,9 Ave & W 45 St,40.76019252,-73.9912551,20367,Subscriber,2001,Jan-19
1045,52:50.5,10:16.4,3256,Pier 40 - Hudson River Park,40.72771408,-74.01129574,285,Broadway & E 14 St,40.73454567,-73.99074142,35314,Subscriber,1976,Jan-19
571,52:46.3,02:17.8,3529,Lenox Ave & W 130 St,40.8107922,-73.9430681,3490,E 116 St & 2 Ave,40.796879,-73.937261,15154,Subscriber,1991,Jan-19
678,52:47.9,04:06.9,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,3641,Broadway & W 25 St,40.74286877,-73.98918629,14572,Subscriber,1980,Jan-19
412,52:49.4,59:41.5,3243,E 58 St & 1 Ave,40.75892386,-73.96226227,3140,1 Ave & E 78 St,40.77140426,-73.9535166,28933,Subscriber,1967,Jan-19
847,52:50.5,06:58.3,2010,Grand St & Greene St,40.72165481,-74.00234737,3472,W 15 St & 10 Ave,40.74275383,-74.00747359,32612,Subscriber,1990,Jan-19
212,52:49.4,56:22.4,485,W 37 St & 5 Ave,40.75038009,-73.98338988,486,Broadway & W 29 St,40.7462009,-73.98855723,33893,Subscriber,1987,Jan-19
1229,52:54.6,13:24.2,418,Front St & Gold St,40.70224,-73.982578,308,St James Pl & Oliver St,40.71307916,-73.99851193,31190,Subscriber,1958,Jan-19
739,52:51.7,05:11.0,251,Mott St & Prince St,40.72317958,-73.99480012,307,Canal St & Rutgers St,40.71427487,-73.98990025,31361,Subscriber,1991,Jan-19
273,52:53.0,57:27.0,243,Fulton St & Rockwell Pl,40.688226,-73.979382,310,State St & Smith St,40.68926942,-73.98912867,31366,Subscriber,1982,Jan-19
2527,52:52.0,34:59.4,3168,Central Park West & W 85 St,40.78472675,-73.96961715,3282,5 Ave & E 88 St,40.78307,-73.95939,32996,Customer,1990,Jan-19
